"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Common Wood-Pigeon","Columba palumbus","Common Wood-Pigeon"
"Speckled Wood-Pigeon","Columba hodgsonii","Speckled Wood-Pigeon"
"Ashy Wood-Pigeon","Columba pulchricollis","Ashy Wood-Pigeon"
"Nilgiri Wood-Pigeon","Columba elphinstonii","Nilgiri Wood-Pigeon"
"Pale-capped Pigeon","Columba punicea","Pale-capped Pigeon"
"Andaman Wood-Pigeon","Columba palumboides","Andaman Wood-Pigeon"
"European Turtle-Dove","Streptopelia turtur","European Turtle-Dove"
"Oriental Turtle-Dove","Streptopelia orientalis","Oriental Turtle-Dove"
"Eurasian Collared-Dove","Streptopelia decaocto","Eurasian Collared-Dove"
"Red Collared-Dove","Streptopelia tranquebarica","Red Collared-Dove (Red Turtle-Dove)"
"Spotted Dove","Spilopelia chinensis","Spotted Dove"
"Laughing Dove","Spilopelia senegalensis","Laughing Dove (Little Brown Dove)"
"Barred Cuckoo-Dove","Macropygia unchall","Barred Cuckoo-Dove"
"Andaman Cuckoo-Dove","Macropygia rufipennis","Andaman Cuckoo-Dove"
"Namaqua Dove","Oena capensis","Namaqua Dove"
"Asian Emerald Dove","Chalcophaps indica","Asian Emerald Dove"
"Nicobar Pigeon","Caloenas nicobarica","Nicobar Pigeon"
"Orange-breasted Green-Pigeon","Treron bicinctus","Orange-breasted Green-Pigeon"
"Gray-fronted Green-Pigeon","Treron affinis","Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)"
"Andaman Green-Pigeon","Treron chloropterus","Andaman Green-Pigeon"
"Ashy-headed Green-Pigeon","Treron phayrei","Ashy-headed Green-Pigeon"
"Thick-billed Green-Pigeon","Treron curvirostra","Thick-billed Green-Pigeon"
"Yellow-footed Green-Pigeon","Treron phoenicopterus","Yellow-footed Green-Pigeon"
"Pin-tailed Green-Pigeon","Treron apicauda","Pin-tailed Green-Pigeon"
"Wedge-tailed Green-Pigeon","Treron sphenurus","Wedge-tailed Green-Pigeon"
"Green Imperial-Pigeon","Ducula aenea","Green Imperial-Pigeon"
"Nicobar Imperial-Pigeon","Ducula nicobarica","Nicobar Imperial-Pigeon"
"Malabar Imperial-Pigeon","Ducula cuprea","Malabar Imperial-Pigeon"
"Mountain Imperial-Pigeon","Ducula badia","Mountain Imperial-Pigeon"
"Pied Imperial-Pigeon","Ducula bicolor","Pied Imperial-Pigeon"
"Tibetan Sandgrouse","Syrrhaptes tibetanus","Tibetan Sandgrouse"
"Pallas's Sandgrouse","Syrrhaptes paradoxus","Pallas's Sandgrouse"
"Pin-tailed Sandgrouse","Pterocles alchata","Pin-tailed Sandgrouse"
"Chestnut-bellied Sandgrouse","Pterocles exustus","Chestnut-bellied Sandgrouse"
"Spotted Sandgrouse","Pterocles senegallus","Spotted Sandgrouse"
"Black-bellied Sandgrouse","Pterocles orientalis","Black-bellied Sandgrouse"
"Painted Sandgrouse","Pterocles indicus","Painted Sandgrouse"
"Great Indian Bustard","Ardeotis nigriceps","Great Indian Bustard"
"Macqueen's Bustard","Chlamydotis macqueenii","Macqueen's Bustard (Houbara Bustard)"
"Bengal Florican","Houbaropsis bengalensis","Bengal Florican"
"Lesser Florican","Sypheotides indicus","Lesser Florican"
"Little Bustard","Tetrax tetrax","Little Bustard"
"Andaman Coucal","Centropus andamanensis","Andaman Coucal"
"Greater Coucal","Centropus sinensis","Greater Coucal"
"Lesser Coucal","Centropus bengalensis","Lesser Coucal"
"Sirkeer Malkoha","Taccocua leschenaultii","Sirkeer Malkoha"
"Blue-faced Malkoha","Phaenicophaeus viridirostris","Blue-faced Malkoha"
"Green-billed Malkoha","Phaenicophaeus tristis","Green-billed Malkoha"
"Chestnut-winged Cuckoo","Clamator coromandus","Chestnut-winged Cuckoo"
"Pied Cuckoo","Clamator jacobinus","Pied Cuckoo (Jacobin Cuckoo)"
"Asian Koel","Eudynamys scolopaceus","Asian Koel"
"Asian Emerald Cuckoo","Chrysococcyx maculatus","Asian Emerald Cuckoo"
"Violet Cuckoo","Chrysococcyx xanthorhynchus","Violet Cuckoo"
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","Horsfield's Bronze-Cuckoo"
"Banded Bay Cuckoo","Cacomantis sonneratii","Banded Bay Cuckoo"
"Plaintive Cuckoo","Cacomantis merulinus","Plaintive Cuckoo"
"Gray-bellied Cuckoo","Cacomantis passerinus","Grey-bellied Cuckoo"
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides","Fork-tailed Drongo-Cuckoo"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris","Square-tailed Drongo-Cuckoo"
"Large Hawk-Cuckoo","Hierococcyx sparverioides","Large Hawk-Cuckoo"
"Common Hawk-Cuckoo","Hierococcyx varius","Common Hawk-Cuckoo"
"Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor","Hodgson's Hawk-Cuckoo"
"Lesser Cuckoo","Cuculus poliocephalus","Lesser Cuckoo"
"Indian Cuckoo","Cuculus micropterus","Indian Cuckoo"
"Himalayan Cuckoo","Cuculus saturatus","Himalayan Cuckoo"
"Common Cuckoo","Cuculus canorus","Common Cuckoo"
"Sri Lanka Frogmouth","Batrachostomus moniliger","Sri Lanka Frogmouth"
"Hodgson's Frogmouth","Batrachostomus hodgsoni","Hodgson's Frogmouth"
"Great Eared-Nightjar","Lyncornis macrotis","Great Eared-Nightjar"
"Jungle Nightjar","Caprimulgus indicus","Jungle Nightjar (Indian Jungle Nightjar)"
"Gray Nightjar","Caprimulgus jotaka","Grey Nightjar (Eastern Jungle Nightjar)"
"Eurasian Nightjar","Caprimulgus europaeus","Eurasian Nightjar (European Nightjar)"
"Sykes's Nightjar","Caprimulgus mahrattensis","Sykes's Nightjar"
"Large-tailed Nightjar","Caprimulgus macrurus","Large-tailed Nightjar"
"Andaman Nightjar","Caprimulgus andamanicus","Andaman Nightjar"
"Jerdon's Nightjar","Caprimulgus atripennis","Jerdon's Nightjar"
"Indian Nightjar","Caprimulgus asiaticus","Indian Nightjar"
"Savanna Nightjar","Caprimulgus affinis","Savanna Nightjar"
"White-rumped Spinetail","Zoonavena sylvatica","White-rumped Spinetail (White-rumped Needletail)"
"White-throated Needletail","Hirundapus caudacutus","White-throated Needletail"
"Silver-backed Needletail","Hirundapus cochinchinensis","Silver-backed Needletail"
"Brown-backed Needletail","Hirundapus giganteus","Brown-backed Needletail"
"Plume-toed Swiftlet","Collocalia affinis","Plume-toed Swift (Andaman Glossy Swiftlet)"
"Indian Swiftlet","Aerodramus unicolor","Indian Swiftlet"
"Himalayan Swiftlet","Aerodramus brevirostris","Himalayan Swiftlet"
"White-nest Swiftlet","Aerodramus fuciphagus","White-nest Swiftlet (Edible-nest Swiftlet)"
"Alpine Swift","Tachymarptis melba","Alpine Swift"
"Common Swift","Apus apus","Common Swift"
"Pacific Swift","Apus pacificus","Pacific Swift"
"Blyth's Swift","Apus leuconyx","Blyth's Swift (Fork-tailed Swift)"
"Dark-rumped Swift","Apus acuticauda","Dark-rumped Swift"
"Little Swift","Apus affinis","Little Swift (Indian House Swift)"
"House Swift","Apus nipalensis","House Swift (Nepal House Swift)"
"Asian Palm Swift","Cypsiurus balasiensis","Asian Palm Swift"
"Crested Treeswift","Hemiprocne coronata","Crested Treeswift"
"Water Rail","Rallus aquaticus","Water Rail"
"Brown-cheeked Rail","Rallus indicus","Brown-cheeked Rail"
"Corn Crake","Crex crex","Corn Crake"
"Slaty-breasted Rail","Lewinia striata","Slaty-breasted Rail"
"Spotted Crake","Porzana porzana","Spotted Crake"
"Eurasian Moorhen","Gallinula chloropus","Eurasian Moorhen"
"Eurasian Coot","Fulica atra","Eurasian Coot"
"Gray-headed Swamphen","Porphyrio poliocephalus","Grey-headed Swamphen (Purple Swamphen)"
"White-browed Crake","Poliolimnas cinereus","White-browed Crake"
"Watercock","Gallicrex cinerea","Watercock"
"White-breasted Waterhen","Amaurornis phoenicurus","White-breasted Waterhen"
"Andaman Crake","Rallina canningi","Andaman Crake"
"Red-legged Crake","Rallina fasciata","Red-legged Crake"
"Slaty-legged Crake","Rallina eurizonoides","Slaty-legged Crake"
"Ruddy-breasted Crake","Zapornia fusca","Ruddy-breasted Crake"
"Brown Crake","Zapornia akool","Brown Crake"
"Little Crake","Zapornia parva","Little Crake"
"Baillon's Crake","Zapornia pusilla","Baillon's Crake"
"Black-tailed Crake","Zapornia bicolor","Black-tailed Crake"
"Masked Finfoot","Heliopais personatus","Masked Finfoot"
"Demoiselle Crane","Anthropoides virgo","Demoiselle Crane"
"Siberian Crane","Leucogeranus leucogeranus","Siberian Crane"
"Sarus Crane","Antigone antigone","Sarus Crane"
"Common Crane","Grus grus","Common Crane"
"Black-necked Crane","Grus nigricollis","Black-necked Crane"
"Indian Thick-knee","Burhinus indicus","Indian Thick-knee (Indian Stone-curlew)"
"Great Thick-knee","Esacus recurvirostris","Great Thick-knee (Great Stone-curlew)"
"Beach Thick-knee","Esacus magnirostris","Beach Thick-knee (Beach Stone-curlew)"
"Black-winged Stilt","Himantopus himantopus","Black-winged Stilt"
"Pied Avocet","Recurvirostra avosetta","Pied Avocet"
"Ibisbill","Ibidorhyncha struthersii","Ibisbill"
"Eurasian Oystercatcher","Haematopus ostralegus","Eurasian Oystercatcher"
"Black-bellied Plover","Pluvialis squatarola","Black-bellied Plover (Grey Plover)"
"European Golden-Plover","Pluvialis apricaria","European Golden-Plover"
"American Golden-Plover","Pluvialis dominica","American Golden-Plover"
"Pacific Golden-Plover","Pluvialis fulva","Pacific Golden-Plover"
"Northern Lapwing","Vanellus vanellus","Northern Lapwing"
"River Lapwing","Vanellus duvaucelii","River Lapwing"
"Yellow-wattled Lapwing","Vanellus malabaricus","Yellow-wattled Lapwing"
"Gray-headed Lapwing","Vanellus cinereus","Grey-headed Lapwing"
"Red-wattled Lapwing","Vanellus indicus","Red-wattled Lapwing"
"Sociable Lapwing","Vanellus gregarius","Sociable Lapwing"
"White-tailed Lapwing","Vanellus leucurus","White-tailed Lapwing"
"Tibetan Sand-Plover","Anarhynchus atrifrons","Tibetan Sand-Plover (Lesser Sand-Plover)"
"Greater Sand-Plover","Anarhynchus leschenaultii","Greater Sand-Plover"
"Caspian Plover","Anarhynchus asiaticus","Caspian Plover"
"Kentish Plover","Anarhynchus alexandrinus","Kentish Plover"
"Common Ringed Plover","Charadrius hiaticula","Common Ringed Plover"
"Long-billed Plover","Charadrius placidus","Long-billed Plover"
"Little Ringed Plover","Charadrius dubius","Little Ringed Plover"
"Oriental Plover","Anarhynchus veredus","Oriental Plover"
"Greater Painted-Snipe","Rostratula benghalensis","Greater Painted-Snipe"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","Pheasant-tailed Jacana"
"Bronze-winged Jacana","Metopidius indicus","Bronze-winged Jacana"
"Whimbrel","Numenius phaeopus","Whimbrel"
"Eurasian Curlew","Numenius arquata","Eurasian Curlew"
"Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit"
"Black-tailed Godwit","Limosa limosa","Black-tailed Godwit"
"Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone"
"Great Knot","Calidris tenuirostris","Great Knot"
"Red Knot","Calidris canutus","Red Knot"
"Ruff","Calidris pugnax","Ruff"
"Broad-billed Sandpiper","Calidris falcinellus","Broad-billed Sandpiper"
"Sharp-tailed Sandpiper","Calidris acuminata","Sharp-tailed Sandpiper"
"Curlew Sandpiper","Calidris ferruginea","Curlew Sandpiper"
"Temminck's Stint","Calidris temminckii","Temminck's Stint"
"Long-toed Stint","Calidris subminuta","Long-toed Stint"
"Spoon-billed Sandpiper","Calidris pygmaea","Spoon-billed Sandpiper"
"Red-necked Stint","Calidris ruficollis","Red-necked Stint"
"Sanderling","Calidris alba","Sanderling"
"Dunlin","Calidris alpina","Dunlin"
"Little Stint","Calidris minuta","Little Stint"
"Buff-breasted Sandpiper","Calidris subruficollis","Buff-breasted Sandpiper"
"Pectoral Sandpiper","Calidris melanotos","Pectoral Sandpiper"
"Asian Dowitcher","Limnodromus semipalmatus","Asian Dowitcher"
"Long-billed Dowitcher","Limnodromus scolopaceus","Long-billed Dowitcher"
"Jack Snipe","Lymnocryptes minimus","Jack Snipe"
"Eurasian Woodcock","Scolopax rusticola","Eurasian Woodcock"
"Solitary Snipe","Gallinago solitaria","Solitary Snipe"
"Wood Snipe","Gallinago nemoricola","Wood Snipe"
"Great Snipe","Gallinago media","Great Snipe"
"Common Snipe","Gallinago gallinago","Common Snipe"
"Pin-tailed Snipe","Gallinago stenura","Pin-tailed Snipe"
"Swinhoe's Snipe","Gallinago megala","Swinhoe's Snipe"
"Terek Sandpiper","Xenus cinereus","Terek Sandpiper"
"Red-necked Phalarope","Phalaropus lobatus","Red-necked Phalarope"
"Red Phalarope","Phalaropus fulicarius","Red Phalarope"
"Common Sandpiper","Actitis hypoleucos","Common Sandpiper"
"Green Sandpiper","Tringa ochropus","Green Sandpiper"
"Gray-tailed Tattler","Tringa brevipes","Grey-tailed Tattler"
"Spotted Redshank","Tringa erythropus","Spotted Redshank"
"Common Greenshank","Tringa nebularia","Common Greenshank"
"Nordmann's Greenshank","Tringa guttifer","Nordmann's Greenshank"
"Marsh Sandpiper","Tringa stagnatilis","Marsh Sandpiper"
"Wood Sandpiper","Tringa glareola","Wood Sandpiper"
"Common Redshank","Tringa totanus","Common Redshank"
"Small Buttonquail","Turnix sylvaticus","Small Buttonquail"
"Yellow-legged Buttonquail","Turnix tanki","Yellow-legged Buttonquail"
"Barred Buttonquail","Turnix suscitator","Barred Buttonquail"
"Crab-Plover","Dromas ardeola","Crab-Plover"
"Cream-colored Courser","Cursorius cursor","Cream-colored Courser"
"Indian Courser","Cursorius coromandelicus","Indian Courser"
"Jerdon's Courser","Rhinoptilus bitorquatus","Jerdon's Courser"
"Collared Pratincole","Glareola pratincola","Collared Pratincole"
"Oriental Pratincole","Glareola maldivarum","Oriental Pratincole"
"Small Pratincole","Glareola lactea","Small Pratincole"
"South Polar Skua","Stercorarius maccormicki","South Polar Skua"
"Brown Skua","Stercorarius antarcticus","Brown Skua"
"Pomarine Jaeger","Stercorarius pomarinus","Pomarine Jaeger (Pomarine Skua)"
"Parasitic Jaeger","Stercorarius parasiticus","Parasitic Jaeger (Arctic Skua)"
"Long-tailed Jaeger","Stercorarius longicaudus","Long-tailed Jaeger"
"Black-legged Kittiwake","Rissa tridactyla","Black-legged Kittiwake"
"Sabine's Gull","Xema sabini","Sabine's Gull"
"Slender-billed Gull","Chroicocephalus genei","Slender-billed Gull"
"Black-headed Gull","Chroicocephalus ridibundus","Black-headed Gull"
"Brown-headed Gull","Chroicocephalus brunnicephalus","Brown-headed Gull"
"Little Gull","Hydrocoloeus minutus","Little Gull"
"Franklin's Gull","Leucophaeus pipixcan","Franklin's Gull"
"White-eyed Gull","Ichthyaetus leucophthalmus","White-eyed Gull"
"Sooty Gull","Ichthyaetus hemprichii","Sooty Gull"
"Pallas's Gull","Ichthyaetus ichthyaetus","Pallas's Gull"
"Common Gull","Larus canus","Common Gull"
"Herring Gull","Larus argentatus","Herring Gull"
"Caspian Gull","Larus cachinnans","Caspian Gull"
"Lesser Black-backed Gull","Larus fuscus","Lesser Black-backed Gull"
"Brown Noddy","Anous stolidus","Brown Noddy"
"Black Noddy","Anous minutus","Black Noddy"
"Lesser Noddy","Anous tenuirostris","Lesser Noddy"
"White Tern","Gygis alba","White Tern"
"Sooty Tern","Onychoprion fuscatus","Sooty Tern"
"Bridled Tern","Onychoprion anaethetus","Bridled Tern"
"Little Tern","Sternula albifrons","Little Tern"
"Saunders's Tern","Sternula saundersi","Saunders's Tern"
"Gull-billed Tern","Gelochelidon nilotica","Gull-billed Tern"
"Caspian Tern","Hydroprogne caspia","Caspian Tern"
"Black Tern","Chlidonias niger","Black Tern"
"White-winged Tern","Chlidonias leucopterus","White-winged Tern"
"Whiskered Tern","Chlidonias hybrida","Whiskered Tern"
"Roseate Tern","Sterna dougallii","Roseate Tern"
"Black-naped Tern","Sterna sumatrana","Black-naped Tern"
"Common Tern","Sterna hirundo","Common Tern"
"Arctic Tern","Sterna paradisaea","Arctic Tern"
"Black-bellied Tern","Sterna acuticauda","Black-bellied Tern"
"River Tern","Sterna aurantia","River Tern"
"White-cheeked Tern","Sterna repressa","White-cheeked Tern"
"Great Crested Tern","Thalasseus bergii","Great Crested Tern"
"Sandwich Tern","Thalasseus sandvicensis","Sandwich Tern"
"Lesser Crested Tern","Thalasseus bengalensis","Lesser Crested Tern"
"Indian Skimmer","Rynchops albicollis","Indian Skimmer"
"White-tailed Tropicbird","Phaethon lepturus","White-tailed Tropicbird"
"Red-billed Tropicbird","Phaethon aethereus","Red-billed Tropicbird"
"Red-tailed Tropicbird","Phaethon rubricauda","Red-tailed Tropicbird"
"Red-throated Loon","Gavia stellata","Red-throated Loon"
"Arctic Loon","Gavia arctica","Arctic Loon"
"Light-mantled Albatross","Phoebetria palpebrata","Light-mantled Albatross"
"Wilson's Storm-Petrel","Oceanites oceanicus","Wilson's Storm-Petrel"
"White-faced Storm-Petrel","Pelagodroma marina","White-faced Storm-Petrel"
"Black-bellied Storm-Petrel","Fregetta tropica","Black-bellied Storm-Petrel"
"Swinhoe's Storm-Petrel","Hydrobates monorhis","Swinhoe's Storm-Petrel"
"Barau's Petrel","Pterodroma baraui","Barau's Petrel"
"Jouanin's Petrel","Bulweria fallax","Jouanin's Petrel"
"Streaked Shearwater","Calonectris leucomelas","Streaked Shearwater"
"Cory's Shearwater","Calonectris diomedea","Cory's Shearwater"
"Flesh-footed Shearwater","Ardenna carneipes","Flesh-footed Shearwater"
"Wedge-tailed Shearwater","Ardenna pacifica","Wedge-tailed Shearwater"
"Sooty Shearwater","Ardenna grisea","Sooty Shearwater"
"Short-tailed Shearwater","Ardenna tenuirostris","Short-tailed Shearwater"
"Tropical Shearwater","Puffinus bailloni","Tropical Shearwater"
"Persian Shearwater","Puffinus persicus","Persian Shearwater"
"Asian Openbill","Anastomus oscitans","Asian Openbill"
"Black Stork","Ciconia nigra","Black Stork"
"Asian Woolly-necked Stork","Ciconia episcopus","Asian Woolly-necked Stork"
"White Stork","Ciconia ciconia","White Stork"
"Black-necked Stork","Ephippiorhynchus asiaticus","Black-necked Stork"
"Lesser Adjutant","Leptoptilos javanicus","Lesser Adjutant"
"Greater Adjutant","Leptoptilos dubius","Greater Adjutant"
"Painted Stork","Mycteria leucocephala","Painted Stork"
"Lesser Frigatebird","Fregata ariel","Lesser Frigatebird"
"Christmas Island Frigatebird","Fregata andrewsi","Christmas Island Frigatebird"
"Great Frigatebird","Fregata minor","Great Frigatebird"
"Masked Booby","Sula dactylatra","Masked Booby"
"Brown Booby","Sula leucogaster","Brown Booby"
"Red-footed Booby","Sula sula","Red-footed Booby"
"Oriental Darter","Anhinga melanogaster","Oriental Darter"
"Little Cormorant","Microcarbo niger","Little Cormorant"
"Great Cormorant","Phalacrocorax carbo","Great Cormorant"
"Indian Cormorant","Phalacrocorax fuscicollis","Indian Cormorant (Indian Shag)"
"Great White Pelican","Pelecanus onocrotalus","Great White Pelican (Rosy Pelican)"
"Spot-billed Pelican","Pelecanus philippensis","Spot-billed Pelican"
"Dalmatian Pelican","Pelecanus crispus","Dalmatian Pelican"
"Great Bittern","Botaurus stellaris","Great Bittern"
"Yellow Bittern","Ixobrychus sinensis","Yellow Bittern"
"Little Bittern","Ixobrychus minutus","Little Bittern"
"Cinnamon Bittern","Ixobrychus cinnamomeus","Cinnamon Bittern"
"Black Bittern","Ixobrychus flavicollis","Black Bittern"
"Gray Heron","Ardea cinerea","Grey Heron"
"White-bellied Heron","Ardea insignis","White-bellied Heron"
"Goliath Heron","Ardea goliath","Goliath Heron"
"Purple Heron","Ardea purpurea","Purple Heron"
"Great Egret","Ardea alba","Great Egret"
"Medium Egret","Ardea intermedia","Intermediate Egret (Medium Egret)"
"Chinese Egret","Egretta eulophotes","Chinese Egret"
"Little Egret","Egretta garzetta","Little Egret"
"Western Reef-Heron","Egretta gularis","Western Reef-Heron (Western Reef-Egret)"
"Pacific Reef-Heron","Egretta sacra","Pacific Reef-Heron (Pacific Reef-Egret)"
"Eastern Cattle Egret","Bubulcus coromandus","Eastern Cattle Egret"
"Indian Pond-Heron","Ardeola grayii","Indian Pond-Heron"
"Chinese Pond-Heron","Ardeola bacchus","Chinese Pond-Heron"
"Javan Pond-Heron","Ardeola speciosa","Javan Pond-Heron"
"Striated Heron","Butorides striata","Striated Heron (Little Heron)"
"Black-crowned Night Heron","Nycticorax nycticorax","Black-crowned Night Heron"
"White-eared Night Heron","Oroanassa magnifica","White-eared Night Heron"
"Malayan Night Heron","Gorsachius melanolophus","Malayan Night Heron"
"Glossy Ibis","Plegadis falcinellus","Glossy Ibis"
"Black-headed Ibis","Threskiornis melanocephalus","Black-headed Ibis"
"Red-naped Ibis","Pseudibis papillosa","Red-naped Ibis (Indian Black Ibis)"
"Eurasian Spoonbill","Platalea leucorodia","Eurasian Spoonbill"
"Osprey","Pandion haliaetus","Osprey"
"Black-winged Kite","Elanus caeruleus","Black-winged Kite (Black-shouldered Kite)"
"Bearded Vulture","Gypaetus barbatus","Bearded Vulture (Lammergeier)"
"Egyptian Vulture","Neophron percnopterus","Egyptian Vulture"
"European Honey-buzzard","Pernis apivorus","European Honey-buzzard"
"Oriental Honey-buzzard","Pernis ptilorhynchus","Oriental Honey-buzzard (Crested Honey Buzzard)"
