COMMON.NAME,SCIENTIFIC.NAME
Horned Grebe (Slavonian Grebe),Podiceps auritus
Red-necked Grebe,Podiceps grisegena
Great Crested Grebe,Podiceps cristatus
Eared Grebe (Black-necked Grebe),Podiceps nigricollis
Horned/Eared Grebe,Podiceps auritus/nigricollis
grebe sp.,Podicipedidae sp.
Rock Pigeon (Blue Rock Pigeon),Columba livia
Hill Pigeon,Columba rupestris
Rock/Hill Pigeon,Columba livia/rupestris
Snow Pigeon,Columba leuconota
Yellow-eyed Pigeon (Pale-backed Pigeon),Columba eversmanni
Common Wood-Pigeon,Columba palumbus
Speckled Wood-Pigeon,Columba hodgsonii
Ashy Wood-Pigeon,Columba pulchricollis
Nilgiri Wood-Pigeon,Columba elphinstonii
Pale-capped Pigeon,Columba punicea
Andaman Wood-Pigeon,Columba palumboides
Columba pigeon sp.,Columba sp.
European Turtle-Dove,Streptopelia turtur
Oriental Turtle-Dove,Streptopelia orientalis
Eurasian Collared-Dove,Streptopelia decaocto
Red Collared-Dove (Red Turtle-Dove),Streptopelia tranquebarica
Eurasian/Red Collared-Dove,Streptopelia decaocto/tranquebarica
Spotted Dove,Streptopelia chinensis
Laughing Dove (Little Brown Dove),Streptopelia senegalensis
Streptopelia dove sp.,Streptopelia sp.
Barred Cuckoo-Dove,Macropygia unchall
Andaman Cuckoo-Dove,Macropygia rufipennis
Namaqua Dove,Oena capensis
Asian Emerald Dove,Chalcophaps indica
Asian/Pacific Emerald Dove,Chalcophaps indica/longirostris
Nicobar Pigeon,Caloenas nicobarica
Orange-breasted Green-Pigeon,Treron bicinctus
Grey-fronted Green-Pigeon (Pompadour Green-Pigeon),Treron affinis
Andaman Green-Pigeon,Treron chloropterus
Ashy-headed Green-Pigeon,Treron phayrei
Thick-billed Green-Pigeon,Treron curvirostra
Yellow-footed Green-Pigeon,Treron phoenicopterus
Pin-tailed Green-Pigeon,Treron apicauda
Wedge-tailed Green-Pigeon,Treron sphenurus
green-pigeon sp.,Treron sp.
Green Imperial-Pigeon,Ducula aenea
Nicobar Imperial-Pigeon,Ducula nicobarica
Mountain Imperial-Pigeon,Ducula badia
Pied Imperial-Pigeon,Ducula bicolor
imperial-pigeon sp.,Ducula sp.
pigeon/dove sp.,Columbidae sp.
Tibetan Sandgrouse,Syrrhaptes tibetanus
Pallas's Sandgrouse,Syrrhaptes paradoxus
Pin-tailed Sandgrouse,Pterocles alchata
Chestnut-bellied Sandgrouse,Pterocles exustus
Spotted Sandgrouse,Pterocles senegallus
Black-bellied Sandgrouse,Pterocles orientalis
Painted Sandgrouse,Pterocles indicus
sandgrouse sp.,Pterocles sp.
Great Indian Bustard,Ardeotis nigriceps
Macqueen's Bustard (Houbara Bustard),Chlamydotis macqueenii
Bengal Florican,Houbaropsis bengalensis
Lesser Florican,Sypheotides indicus
Little Bustard,Tetrax tetrax
Andaman Coucal,Centropus andamanensis
Greater Coucal,Centropus sinensis
Lesser Coucal,Centropus bengalensis
Greater/Lesser Coucal,Centropus sinensis/bengalensis
coucal sp.,Centropus sp.
Sirkeer Malkoha,Taccocua leschenaultii
Blue-faced Malkoha,Phaenicophaeus viridirostris
Green-billed Malkoha,Phaenicophaeus tristis
malkoha sp.,Cuculidae sp. (malkoha sp.)
Chestnut-winged Cuckoo,Clamator coromandus
Pied Cuckoo (Jacobin Cuckoo),Clamator jacobinus
Asian Koel,Eudynamys scolopaceus
Asian Emerald Cuckoo,Chrysococcyx maculatus
Violet Cuckoo,Chrysococcyx xanthorhynchus
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis
Banded Bay Cuckoo,Cacomantis sonneratii
Plaintive Cuckoo,Cacomantis merulinus
Grey-bellied Cuckoo,Cacomantis passerinus
Plaintive/Grey-bellied Cuckoo,Cacomantis merulinus/passerinus
Cacomantis cuckoo sp.,Cacomantis sp.
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides
Square-tailed Drongo-Cuckoo,Surniculus lugubris
Fork-tailed/Square-tailed Drongo-Cuckoo,Surniculus dicruroides/lugubris
Large Hawk-Cuckoo,Hierococcyx sparverioides
Common Hawk-Cuckoo,Hierococcyx varius
Large/Common Hawk-Cuckoo,Hierococcyx sparverioides/varius
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor
hawk-cuckoo sp.,Hierococcyx sp.
Lesser Cuckoo,Cuculus poliocephalus
Indian Cuckoo,Cuculus micropterus
Lesser/Indian Cuckoo,Cuculus poliocephalus/micropterus
Himalayan Cuckoo,Cuculus saturatus
Common Cuckoo,Cuculus canorus
Himalayan/Oriental Cuckoo,Cuculus saturatus/optatus
Common/Oriental Cuckoo,Cuculus canorus/optatus
Cuculus cuckoo sp.,Cuculus sp.
cuckoo sp. (Cuculidae sp.),Cuculidae sp.
Sri Lanka Frogmouth,Batrachostomus moniliger
Hodgson's Frogmouth,Batrachostomus hodgsoni
frogmouth sp.,Podargidae sp.
Great Eared-Nightjar,Lyncornis macrotis
Jungle Nightjar (Indian Jungle Nightjar),Caprimulgus indicus
Grey Nightjar (Eastern Jungle Nightjar),Caprimulgus jotaka
Jungle/Grey Nightjar,Caprimulgus indicus/jotaka
Eurasian Nightjar (European Nightjar),Caprimulgus europaeus
Sykes's Nightjar,Caprimulgus mahrattensis
Large-tailed Nightjar,Caprimulgus macrurus
Andaman Nightjar,Caprimulgus andamanicus
Jerdon's Nightjar,Caprimulgus atripennis
Indian Nightjar,Caprimulgus asiaticus
Savanna Nightjar,Caprimulgus affinis
Caprimulgus old world nightjar sp.,Caprimulgus sp.
nightjar sp.,Caprimulgidae sp.
White-rumped Needletail (White-rumped Spinetail),Zoonavena sylvatica
White-throated Needletail,Hirundapus caudacutus
Silver-backed Needletail,Hirundapus cochinchinensis
Brown-backed Needletail,Hirundapus giganteus
Hirundapus needletail sp.,Hirundapus sp.
Plume-toed Swift (Andaman Glossy Swiftlet),Collocalia affinis
Indian Swiftlet,Aerodramus unicolor
Himalayan Swiftlet,Aerodramus brevirostris
White-nest Swiftlet (Edible-nest Swiftlet),Aerodramus fuciphagus
White-nest/Germain's Swiftlet (Edible-nest Swiftlet),Aerodramus fuciphagus/germani
dark swiftlet sp.,Aerodramus sp.
swiftlet sp.,Collocalia/Aerodramus sp.
Alpine Swift,Apus melba
Common Swift,Apus apus
Pacific Swift,Apus pacificus
Blyth's Swift (Fork-tailed Swift),Apus leuconyx
fork-tailed swift sp.,Apus pacificus/salimalii/leuconyx/cooki
Dark-rumped Swift,Apus acuticauda
Little Swift (Indian House Swift),Apus affinis
House Swift (Nepal House Swift),Apus nipalensis
Little/House Swift,Apus affinis/nipalensis
Apus swift sp.,Apus sp.
Asian Palm-Swift,Cypsiurus balasiensis
large swift sp.,Apodidae sp. (large swift sp.)
small swift sp.,Apodidae sp. (small swift sp.)
swift sp.,Apodidae sp.
Crested Treeswift,Hemiprocne coronata
treeswift sp.,Hemiprocne sp.
Water Rail,Rallus aquaticus
Brown-cheeked Rail,Rallus indicus
Corn Crake,Crex crex
Slaty-breasted Rail,Lewinia striata
Spotted Crake,Porzana porzana
Eurasian Moorhen,Gallinula chloropus
Eurasian Moorhen/Common Gallinule,Gallinula chloropus/galeata
Eurasian Coot,Fulica atra
Eurasian/Red-knobbed Coot,Fulica atra/cristata
coot sp.,Fulica sp.
Grey-headed Swamphen (Purple Swamphen),Porphyrio poliocephalus
Black-backed/Grey-headed Swamphen,Porphyrio indicus/poliocephalus
swamphen sp.,Porphyrio sp. (swamphen sp.)
moorhen/coot/gallinule sp.,Gallinula/Fulica/Porphyrio sp.
White-browed Crake,Poliolimnas cinereus
Watercock,Gallicrex cinerea
White-breasted Waterhen,Amaurornis phoenicurus
Andaman Crake,Rallina canningi
Great Nicobar Crake (undescribed form),Rallina [undescribed form]
Red-legged Crake,Rall
Slaty-legged Crake,Rallina eurizonoides
Ruddy-breasted Crake,Zapornia fusca
Brown Crake,Zapornia akool
Little Crake,Zapornia parva
Baillon's Crake,Zapornia pusilla
Spotted/Little/Baillon's Crake,Porzana porzana/Zapornia parva/pusilla
Black-tailed Crake,Zapornia bicolor
Zapornia rail/crake sp.,Zapornia sp.
rail/crake sp.,Rallidae sp. (rail/crake sp.)
Masked Finfoot,Heliopais personatus
Demoiselle Crane,Anthropoides virgo
Siberian Crane,Leucogeranus leucogeranus
Sarus Crane,Antigone antigone
Common Crane,Grus grus
Black-necked Crane,Grus nigricollis
crane sp.,Gruidae sp.
Indian Thick-knee (Indian Stone-curlew),Burhinus indicus
Great Thick-knee (Great Stone-curlew),Esacus recurvirostris
Beach Thick-knee (Beach Stone-curlew),Esacus magnirostris
Black-winged Stilt,Himantopus himantopus
Pied Avocet,Recurvirostra avosetta
Ibisbill,Ibidorhyncha struthersii
Eurasian Oystercatcher,Haematopus ostralegus
Black-bellied Plover (Grey Plover),Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
American/Pacific Golden-Plover (Lesser Golden-Plover),Pluvialis dominica/fulva
golden-plover sp.,Pluvialis apricaria/dominica/fulva
Black-bellied Plover/golden-plover sp.,Pluvialis sp.
Northern Lapwing,Vanellus vanellus
River Lapwing,Vanellus duvaucelii
Yellow-wattled Lapwing,Vanellus malabaricus
Grey-headed Lapwing,Vanellus cinereus
Red-wattled Lapwing,Vanellus indicus
Sociable Lapwing,Vanellus gregarius
White-tailed Lapwing,Vanellus leucurus
lapwing sp.,Vanellus sp.
Lesser Sand-Plover,Charadrius mongolus
Greater Sand-Plover,Charadrius leschenaultii
Lesser/Greater Sand-Plover,Charadrius mongolus/leschenaultii
Caspian Plover,Charadrius asiaticus
Kentish Plover,Charadrius alexandrinus
Common Ringed Plover,Charadrius hiaticula
Common Ringed/Semipalmated Plover,Charadrius hiaticula/semipalmatus
Long-billed Plover,Charadrius placidus
Little Ringed Plover,Charadrius dubius
Common/Little Ringed Plover,Charadrius hiaticula/dubius
Oriental Plover,Charadrius veredus
small plover sp.,Charadrius sp.
plover sp.,Charadriidae sp.
Greater Painted-Snipe,Rostratula benghalensis
Pheasant-tailed Jacana,Hydrophasianus chirurgus
Bronze-winged Jacana,Metopidius indicus
jacana sp.,Jacanidae sp.
Whimbrel,Numenius phaeopus
Eurasian Curlew,Numenius arquata
Whimbrel/Eurasian Curlew,Numenius phaeopus/arquata
curlew sp.,Numenius sp.
Bar-tailed Godwit,Limosa lapponica
Black-tailed Godwit,Limosa limosa
Bar-tailed/Black-tailed Godwit,Limosa lapponica/limosa
godwit sp.,Limosa sp.
Ruddy Turnstone,Arenaria interpres
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Great/Red Knot,Calidris tenuirostris/canutus
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Sharp-tailed Sandpiper,Calidris acuminata
Curlew Sandpiper,Calidris ferruginea
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Spoon-billed Sandpiper,Calidris pygmaea
Red-necked Stint,Calidris ruficollis
Sanderling,Calidris alba
Dunlin,Calidris alpina
Curlew Sandpiper/Dunlin,Calidris ferruginea/alpina
Little Stint,Calidris minuta
Red-necked/Little Stint,Calidris ruficollis/minuta
Buff-breasted Sandpiper,Calidris subruficollis
Pectoral Sandpiper,Calidris melanotos
Stint sp. (Calidris sp.),Calidris sp. (peep sp.)
Calidris stint/sandpiper sp.,Calidris sp.
Asian Dowitcher,Limnodromus semipalmatus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Eurasian Woodcock,Scolopax rusticola
Solitary Snipe,Gallinago solitaria
Wood Snipe,Gallinago nemoricola
Great Snipe,Gallinago media
Common Snipe,Gallinago gallinago
Pin-tailed Snipe,Gallinago stenura
Common/Pin-tailed Snipe,Gallinago gallinago/stenura
Swinhoe's Snipe,Gallinago megala
Pin-tailed/Swinhoe's Snipe,Gallinago stenura/megala
snipe sp.,Gallinago sp.
Terek Sandpiper,Xenus cinereus
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicarius
Red-necked/Red Phalarope,Phalaropus lobatus/fulicarius
phalarope sp.,Phalaropus sp.
Common Sandpiper,Actitis hypoleucos
Common/Spotted Sandpiper,Actitis hypoleucos/macularius
Green Sandpiper,Tringa ochropus
Grey-tailed Tattler,Tringa brevipes
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Nordmann's Greenshank,Tringa guttifer
Marsh Sandpiper,Tringa stagnatilis
Wood Sandpiper,Tringa glareola
Common Redshank,Tringa totanus
Spotted/Common Redshank,Tringa erythropus/totanus
Tringa sandpiper sp.,Tringa sp.
Scolopacidae sp.,Scolopacidae sp.
large shorebird sp.,Scolopacidae sp. (large shorebird sp.)
Small Buttonquail (Common Buttonquail),Turnix sylvaticus
Yellow-legged Buttonquail,Turnix tanki
Barred Buttonquail,Tur
buttonquail sp.,Turnix sp.
Crab-Plover,Dromas ardeola
Cream-colored Courser,Cursorius cursor
Indian Courser,Cursorius coromandelicus
Jerdon's Courser,Rhinoptilus bitorquatus
Collared Pratincole,Glareola pratincola
Oriental Pratincole,Glareola maldivarum
Collared/Oriental Pratincole,Glareola pratincola/maldivarum
Collared/Black-winged Pratincole,Glareola pratincola/nordmanni
Small Pratincole,Glareola lactea
pratincole sp.,Glareola sp.
shorebird sp.,Charadriiformes sp.
South Polar Skua,Stercorarius maccormicki
Brown Skua,Stercorarius antarcticus
skua sp.,Stercorarius sp. (skua sp.)
Pomarine Jaeger (Pomarine Skua),Stercorarius pomarinus
Parasitic Jaeger (Arctic Skua),Stercorarius parasiticus
Pomarine/Parasitic Jaeger,Stercorarius pomarinus/parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Pomarine/Long-tailed Jaeger,Stercorarius pomarinus/longicaudus
jaeger sp.,Stercorarius sp. (jaeger sp.)
jaeger/skua sp.,Stercorarius sp.
Black-legged Kittiwake,Rissa tridactyla
Sabine's Gull,Xema sabini
Slender-billed Gull,Chroicocephalus genei
Black-headed Gull,Chroicocephalus ridibundus
Slender-billed x Black-headed Gull (hybrid),Chroicocephalus genei x ridibundus
Brown-headed Gull,Chroicocephalus brunnicephalus
Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus
Little Gull,Hydrocoloeus minutus
Franklin's Gull,Leucophaeus pipixcan
White-eyed Gull,Ichthyaetus leucophthalmus
Sooty Gull,Ichthyaetus hemprichii
Pallas's Gull,Ichthyaetus ichthyaetus
Common Gull,Larus canus
Herring Gull,Larus argentatus
Caspian Gull,Larus cachinnans
Yellow-legged/Caspian Gull,Larus michahellis/cachinnans
Lesser Black-backed Gull,Larus fuscus
white-winged gull sp.,Larus sp. (white-winged gull sp.)
Larus gull sp.,Larus sp.
gull sp.,Larinae sp.
Brown Noddy,Anous stolidus
Black Noddy,Anous minutus
Brown/Black Noddy,Anous stolidus/minutus
Lesser Noddy,Anous tenuirostris
White Tern,Gygis alba
Sooty Tern,Onychoprion fuscatus
Bridled Tern,Onychoprion anaethetus
Sooty/Bridled Tern,Onychoprion fuscatus/anaethetus
Little Tern,Sternula albifrons
Little/Least Tern,Sternula albifrons/antillarum
Saunders's Tern,Sternula saundersi
Little/Saunders's Tern,Sternula albifrons/saundersi
Gull-billed Tern,Gelochelidon nilotica
Caspian Tern,Hydroprogne caspia
Black Tern,Chlidonias niger
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybrida
Chlidonias tern sp.,Chlidonias sp.
Roseate Tern,Sterna dougallii
Black-naped Tern,Sterna sumatrana
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Black-bellied Tern,Sterna acuticauda
River Tern,Sterna aurantia
Black-bellied/River Tern,Sterna acuticauda/aurantia
White-cheeked Tern,Sterna repressa
Sterna tern sp.,Sterna sp.
Great Crested Tern,Thalasseus bergii
Sandwich Tern,Thalasseus sandvicensis
Lesser Crested Tern,Thalasseus bengalensis
Thalasseus tern sp.,Thalasseus sp.
large tern sp.,Hydroprogne/Thalasseus sp.
tern sp.,Sterninae sp.
Indian Skimmer,Rynchops albicollis
gull/tern/skimmer sp.,Laridae sp.
White-tailed Tropicbird,Phaethon lepturus
Red-billed Tropicbird,Phaethon aethereus
Red-tailed Tropicbird,Phaethon rubricauda
tropicbird sp.,Phaethon sp.
Red-throated Loon,Gavia stellata
Arctic Loon,Gavia arctica
Wilson's Storm-Petrel,Oceanites oceanicus
White-faced Storm-Petrel,Pelagodroma marina
Black-bellied Storm-Petrel,Fregetta tropica
Swinhoe's Storm-Petrel,Hydrobates monorhis
Oceanodroma storm-petrel sp.,Hydrobates sp.
storm-petrel sp. (white-rumped),Oceanitidae/Hydrobatidae sp. (white-rumped)
storm-petrel sp.,Oceanitidae/Hydrobatidae sp.
Barau's Petrel,Pterodroma baraui
Jouanin's Petrel,Bulweria fallax
Streaked Shearwater,Calonectris leucomelas
Cory's Shearwater,Calonectris diomedea
Flesh-footed Shearwater,Ardenna carneipes
Wedge-tailed Shearwater,Ardenna pacifica
Short-tailed Shearwater,Ardenna tenuirostris
Tropical Shearwater,Puffinus bailloni
Persian Shearwater,Puffinus persicus
shearwater sp.,Procellariidae sp. (shearwater sp.)
Procellariid sp.,Procellariidae sp.
Asian Openbill,Anast
Black Stork,Ciconia nigra
Woolly-necked Stork,Ciconia episcopus
White Stork,Ciconia ciconia
Ciconia stork sp.,Ciconia sp.
Black-necked Stork,Ephippiorhynchus asiaticus
Lesser Adjutant,Leptoptilos javanicus
Greater Adjutant,Leptoptilos dubius
Lesser/Greater Adjutant,Leptoptilos javanicus/dubius
Painted Stork,Mycteria leucocephala
stork sp.,Ciconiidae sp.
Lesser Frigatebird,Fregata ariel
Christmas Island Frigatebird,Fregata andrewsi
Great Frigatebird,Fregata minor
frigatebird sp.,Fregata sp.
Masked Booby,Sula dactylatra
Brown Booby,Sula leucogaster
Red-footed Booby,Sula sula
Oriental Darter,Anhinga melanogaster
Little Cormorant,Microcarbo niger
Great Cormorant,Phalacrocorax carbo
Indian Cormorant (Indian Shag),Phalacroco
Little/Indian Cormorant,Microcarbo niger/Phalacroco
cormorant sp.,Phalacrocoracidae sp.
Great White Pelican (Rosy Pelican),Pelecanus onocrotalus
Spot-billed Pelican,Pelecanus philippensis
Dalmatian Pelican,Pelecanus crispus
pelican sp.,Pelecanus sp.
Great Bittern,Botaurus stellaris
Yellow Bittern,Ixobrychus sinensis
Little Bittern,Ixobrychus minutus
Cinnamon Bittern,Ixobrychus cinnamomeus
Yellow/Cinnamon Bittern,Ixobrychus sinensis/cinnamomeus
Black Bittern,Ixobrychus flavicollis
small bittern sp.,Ixobrychus sp.
Grey Heron,Ardea cinerea
White-bellied Heron,Ardea insignis
Goliath Heron,Ardea goliath
Purple Heron,Ardea purpurea
Grey/Purple Heron,Ardea cinerea/purpurea
Great Egret,Ardea alba
Intermediate Egret,Ardea intermedia
Great/Intermediate Egret,Ardea alba/intermedia
Ardea heron sp.,Ardea sp.
Chinese Egret,Egretta eulophotes
Little Egret,Egretta garzetta
Western Reef-Heron (Western Reef-Egret),Egretta gularis
Little Egret x Western Reef-Heron (hybrid),Egretta garzetta x gularis
Little Egret/Western Reef-Heron,Egretta garzetta/gularis
Pacific Reef-Heron (Pacific Reef-Egret),Egretta sacra
Cattle Egret,Bubulcus ibis
Intermediate/Cattle Egret,Ardea intermedia/Bubulcus ibis
white egret sp.,Ardea/Egretta/Bubulcus sp.
Indian Pond-Heron,Ardeola grayii
Chinese Pond-Heron,Ardeola bacchus
Javan Pond-Heron,Ardeola speciosa
pond-heron sp.,Ardeola sp.
Striated Heron (Little Heron),Butorides striata
Black-crowned Night-Heron,Nycticorax nycticorax
White-eared Night-Heron,Gorsachius magnificus
Malayan Night-Heron,Gorsachius melanolophus
heron sp.,Ardeidae sp.
Glossy Ibis,Plegadis falcinellus
Black-headed Ibis,Threskiornis melanocephalus
Red-naped Ibis (Indian Black Ibis),Pseudibis papillosa
ibis sp.,Threskiornithidae sp. (ibis sp.)
Eurasian Spoonbill,Platalea leucorodia
spoonbill sp.,Platalea sp.
Osprey,Pandion haliaetus
Black-winged Kite (Black-shouldered Kite),Elanus caeruleus
Bearded Vulture (Lammergeier),Gypaetus barbatus
Egyptian Vulture,Neophron percnopterus
European Honey-buzzard,Pernis apivorus
Oriental Honey-buzzard (Crested Honey Buzzard),Pernis ptilorhynchus
European x Oriental Honey-buzzard (hybrid),Pernis apivorus x ptilorhynchus
European/Oriental Honey-buzzard,Pernis apivorus/ptilorhynchus
Jerdon's Baza,Aviceda jerdoni
Black Baza,Aviceda leuphotes
Red-headed Vulture,Sarcogyps calvus
Cinereous Vulture,Aegypius monachus
White-rumped Vulture,Gyps bengalensis
Indian Vulture (Indian Long-billed Vulture),Gyps indicus
Slender-billed Vulture (Himalayan Long-billed Vulture),Gyps tenuirostris
Himalayan Griffon (Himalayan Vulture),Gyps himalayensis
Eurasian Griffon (Griffon Vulture),Gyps fulvus
Himalayan/Eurasian Griffon,Gyps himalayensis/fulvus
Gyps vulture sp.,Gyps sp.
old world vulture sp.,Accipitridae sp. (old world vulture sp.)
Nicobar Serpent-Eagle,Spilornis klossi
Crested Serpent-Eagle,Spilornis cheela
Andaman Serpent-Eagle,Spilornis elgini
Short-toed Snake-Eagle,Circaetus gallicus
Changeable Hawk-Eagle,Nisaetus cirrhatus
Mountain Hawk-Eagle,Nisaetus nipalensis
