"eBird.English.Name.2023","eBird.Scientific.Name.2023","eBird.India.Name.2023"
"Hill Partridge","Arborophila torqueola","Hill Partridge"
"Chestnut-breasted Partridge","Arborophila mandellii","Chestnut-breasted Partridge"
"Rufous-throated Partridge","Arborophila rufogularis","Rufous-throated Partridge"
"White-cheeked Partridge","Arborophila atrogularis","White-cheeked Partridge"
"Snow Partridge","Lerwa lerwa","Snow Partridge"
"Blood Pheasant","Ithaginis cruentus","Blood Pheasant"
"Western Tragopan","Tragopan melanocephalus","Western Tragopan"
"Satyr Tragopan","Tragopan satyra","Satyr Tragopan"
"Blyth's Tragopan","Tragopan blythii","Blyth's Tragopan"
"Temminck's Tragopan","Tragopan temminckii","Temminck's Tragopan"
"Himalayan Monal","Lophophorus impejanus","Himalayan Monal"
"Sclater's Monal","Lophophorus sclateri","Sclater's Monal"
"Koklass Pheasant","Pucrasia macrolopha","Koklass Pheasant"
"Wild Turkey","Meleagris gallopavo","Wild Turkey"
"Tibetan Partridge","Perdix hodgsoniae","Tibetan Partridge"
"Mrs. Hume's Pheasant","Syrmaticus humiae","Mrs. Hume's Pheasant"
"Cheer Pheasant","Catreus wallichii","Cheer Pheasant"
"Kalij Pheasant","Lophura leucomelanos","Kalij Pheasant"
"Indian Peafowl","Pavo cristatus","Indian Peafowl"
"Green Peafowl","Pavo muticus","Green Peafowl"
"Arborophila/Tropicoperdix sp.","Arborophila/Tropicoperdix sp.","Arborophila partridge sp."
"Red Spurfowl","Galloperdix spadicea","Red Spurfowl"
"Painted Spurfowl","Galloperdix lunulata","Painted Spurfowl"
"Red/Painted Spurfowl","Galloperdix spadicea/lunulata","Red/Painted Spurfowl"
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","Grey Peacock-Pheasant"
"pheasant sp.","Phasianidae sp. (pheasant sp.)","pheasant sp."
"Mountain Bamboo-Partridge","Bambusicola fytchii","Mountain Bamboo-Partridge"
"Red Junglefowl","Gallus gallus","Red Junglefowl"
"Gray Junglefowl","Gallus sonneratii","Grey Junglefowl"
"Gray Francolin","Ortygornis pondicerianus","Grey Francolin"
"Swamp Francolin","Ortygornis gularis","Swamp Francolin"
"Chinese Francolin","Francolinus pintadeanus","Chinese Francolin"
"Black Francolin","Francolinus francolinus","Black Francolin"
"Painted Francolin","Francolinus pictus","Painted Francolin"
"Tibetan Snowcock","Tetraogallus tibetanus","Tibetan Snowcock"
"Himalayan Snowcock","Tetraogallus himalayensis","Himalayan Snowcock"
"Tibetan/Himalayan Snowcock","Tetraogallus tibetanus/himalayensis","Tibetan/Himalayan Snowcock"
"Blue-breasted Quail","Synoicus chinensis","Blue-breasted Quail"
"Common Quail","Coturnix coturnix","Common Quail"
"Japanese Quail","Coturnix japonica","Japanese Quail"
"Rain Quail","Coturnix coromandelica","Rain Quail"
"Common/Rain Quail","Coturnix coturnix/coromandelica","Common/Rain Quail"
"old world quail sp.","Synoicus/Coturnix sp.","old world quail sp."
"Chukar","Alectoris chukar","Chukar Partridge"
"Jungle Bush-Quail","Perdicula asiatica","Jungle Bush-Quail"
"Rock Bush-Quail","Perdicula argoondah","Rock Bush-Quail"
"Jungle/Rock Bush-Quail","Perdicula asiatica/argoondah","Jungle/Rock Bush-Quail"
"Painted Bush-Quail","Perdicula erythrorhyncha","Painted Bush-Quail"
"Manipur Bush-Quail","Perdicula manipurensis","Manipur Bush-Quail"
"francolin/spurfowl sp.","Phasianidae sp. (francolin/spurfowl sp.)","francolin/spurfowl sp."
"Greater Flamingo","Phoenicopterus roseus","Greater Flamingo"
"Lesser Flamingo","Phoeniconaias minor","Lesser Flamingo"
"Greater/Lesser Flamingo","Phoenicopterus roseus/Phoeniconaias minor","Greater/Lesser Flamingo"
"flamingo sp.","Phoenicopteridae sp.","flamingo sp."
"Little Grebe","Tachybaptus ruficollis","Little Grebe"
"Horned Grebe","Podiceps auritus","Horned Grebe (Slavonian Grebe)"
"Red-necked Grebe","Podiceps grisegena","Red-necked Grebe"
"Great Crested Grebe","Podiceps cristatus","Great Crested Grebe"
"Eared Grebe","Podiceps nigricollis","Eared Grebe (Black-necked Grebe)"
"Horned/Eared Grebe","Podiceps auritus/nigricollis","Horned/Eared Grebe"
"grebe sp.","Podicipedidae sp.","grebe sp."
"Rock Pigeon","Columba livia","Rock Pigeon (Blue Rock Pigeon)"
"Hill Pigeon","Columba rupestris","Hill Pigeon"
"Rock/Hill Pigeon","Columba livia/rupestris","Rock/Hill Pigeon"
"Snow Pigeon","Columba leuconota","Snow Pigeon"
"Yellow-eyed Pigeon","Columba eversmanni","Yellow-eyed Pigeon"
"Common Wood-Pigeon","Columba palumbus","Common Wood-Pigeon"
"Speckled Wood-Pigeon","Columba hodgsonii","Speckled Wood-Pigeon"
"Ashy Wood-Pigeon","Columba pulchricollis","Ashy Wood-Pigeon"
"Nilgiri Wood-Pigeon","Columba elphinstonii","Nilgiri Wood-Pigeon"
"Pale-capped Pigeon","Columba punicea","Pale-capped Pigeon"
"Andaman Wood-Pigeon","Columba palumboides","Andaman Wood-Pigeon"
"Columba sp.","Columba sp.","Columba pigeon sp."
"European Turtle-Dove","Streptopelia turtur","European Turtle-Dove"
"Oriental Turtle-Dove","Streptopelia orientalis","Oriental Turtle-Dove"
"Eurasian Collared-Dove","Streptopelia decaocto","Eurasian Collared-Dove"
"Red Collared-Dove","Streptopelia tranquebarica","Red Collared-Dove (Red Turtle-Dove)"
"Eurasian/Red Collared-Dove","Streptopelia decaocto/tranquebarica","Eurasian/Red Collared-Dove"
"Streptopelia sp.","Streptopelia sp.","Streptopelia dove sp."
"Spotted Dove","Spilopelia chinensis","Spotted Dove"
"Laughing Dove","Spilopelia senegalensis","Laughing Dove (Little Brown Dove)"
"Barred Cuckoo-Dove","Macropygia unchall","Barred Cuckoo-Dove"
"Andaman Cuckoo-Dove","Macropygia rufipennis","Andaman Cuckoo-Dove"
"Namaqua Dove","Oena capensis","Namaqua Dove"
"Asian Emerald Dove","Chalcophaps indica","Asian Emerald Dove"
"Asian/Pacific Emerald Dove","Chalcophaps indica/longirostris","Asian/Pacific Emerald Dove"
"Diamond Dove","Geopelia cuneata","Diamond Dove"
"Nicobar Pigeon","Caloenas nicobarica","Nicobar Pigeon"
"Orange-breasted Green-Pigeon","Treron bicinctus","Orange-breasted Green-Pigeon"
"Gray-fronted Green-Pigeon","Treron affinis","Grey-fronted Green-Pigeon (Pompadour Green-Pigeon)"
"Andaman Green-Pigeon","Treron chloropterus","Andaman Green-Pigeon"
"Ashy-headed Green-Pigeon","Treron phayrei","Ashy-headed Green-Pigeon"
"Thick-billed Green-Pigeon","Treron curvirostra","Thick-billed Green-Pigeon"
"Yellow-footed Green-Pigeon","Treron phoenicopterus","Yellow-footed Green-Pigeon"
"Pin-tailed Green-Pigeon","Treron apicauda","Pin-tailed Green-Pigeon"
"Wedge-tailed Green-Pigeon","Treron sphenurus","Wedge-tailed Green-Pigeon"
"green-pigeon sp.","Treron sp.","green-pigeon sp."
"Green Imperial-Pigeon","Ducula aenea","Green Imperial-Pigeon"
"Nicobar Imperial-Pigeon","Ducula nicobarica","Nicobar Imperial-Pigeon"
"Malabar Imperial-Pigeon","Ducula cuprea","Malabar Imperial-Pigeon"
"Mountain Imperial-Pigeon","Ducula badia","Mountain Imperial-Pigeon"
"Pied Imperial-Pigeon","Ducula bicolor","Pied Imperial-Pigeon"
"imperial-pigeon sp.","Ducula sp.","imperial-pigeon sp."
"pigeon/dove sp.","Columbidae sp.","pigeon/dove sp."
"Tibetan Sandgrouse","Syrrhaptes tibetanus","Tibetan Sandgrouse"
"Pallas's Sandgrouse","Syrrhaptes paradoxus","Pallas's Sandgrouse"
"Pin-tailed Sandgrouse","Pterocles alchata","Pin-tailed Sandgrouse"
"Chestnut-bellied Sandgrouse","Pterocles exustus","Chestnut-bellied Sandgrouse"
"Spotted Sandgrouse","Pterocles senegallus","Spotted Sandgrouse"
"Black-bellied Sandgrouse","Pterocles orientalis","Black-bellied Sandgrouse"
"Painted Sandgrouse","Pterocles indicus","Painted Sandgrouse"
"sandgrouse sp.","Pterocles sp.","sandgrouse sp."
"Great Indian Bustard","Ardeotis nigriceps","Great Indian Bustard"
"Macqueen's Bustard","Chlamydotis macqueenii","Macqueen's Bustard (Houbara Bustard)"
"Bengal Florican","Houbaropsis bengalensis","Bengal Florican"
"Lesser Florican","Sypheotides indicus","Lesser Florican"
"Little Bustard","Tetrax tetrax","Little Bustard"
"Guinea Turaco","Tauraco persa","Guinea Turaco"
"Andaman Coucal","Centropus andamanensis","Andaman Coucal"
"Greater Coucal","Centropus sinensis","Greater Coucal"
"Lesser Coucal","Centropus bengalensis","Lesser Coucal"
"Greater/Lesser Coucal","Centropus sinensis/bengalensis","Greater/Lesser Coucal"
"coucal sp.","Centropus sp.","coucal sp."
"Sirkeer Malkoha","Taccocua leschenaultii","Sirkeer Malkoha"
"Blue-faced Malkoha","Phaenicophaeus viridirostris","Blue-faced Malkoha"
"Green-billed Malkoha","Phaenicophaeus tristis","Green-billed Malkoha"
"malkoha sp.","Cuculidae sp. (malkoha sp.)","malkoha sp."
"Chestnut-winged Cuckoo","Clamator coromandus","Chestnut-winged Cuckoo"
"Pied Cuckoo","Clamator jacobinus","Pied Cuckoo (Jacobin Cuckoo)"
"Asian Koel","Eudynamys scolopaceus","Asian Koel"
"Asian Emerald Cuckoo","Chrysococcyx maculatus","Asian Emerald Cuckoo"
"Violet Cuckoo","Chrysococcyx xanthorhynchus","Violet Cuckoo"
"Asian Emerald/Violet Cuckoo","Chrysococcyx maculatus/xanthorhynchus","Asian Emerald/Violet Cuckoo"
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","Horsfield's Bronze-Cuckoo"
"Banded Bay Cuckoo","Cacomantis sonneratii","Banded Bay Cuckoo"
"Plaintive Cuckoo","Cacomantis merulinus","Plaintive Cuckoo"
"Gray-bellied Cuckoo","Cacomantis passerinus","Grey-bellied Cuckoo"
"Plaintive/Gray-bellied Cuckoo","Cacomantis merulinus/passerinus","Plaintive/Grey-bellied Cuckoo"
"Cacomantis sp.","Cacomantis sp.","Cacomantis cuckoo sp."
"Fork-tailed Drongo-Cuckoo","Surniculus dicruroides","Fork-tailed Drongo-Cuckoo"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris","Square-tailed Drongo-Cuckoo"
"Fork-tailed/Square-tailed Drongo-Cuckoo","Surniculus dicruroides/lugubris","Fork-tailed/Square-tailed Drongo-Cuckoo"
"Large Hawk-Cuckoo","Hierococcyx sparverioides","Large Hawk-Cuckoo"
"Common Hawk-Cuckoo","Hierococcyx varius","Common Hawk-Cuckoo"
"Large/Common Hawk-Cuckoo","Hierococcyx sparverioides/varius","Large/Common Hawk-Cuckoo"
"Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor","Hodgson's Hawk-Cuckoo"
"hawk-cuckoo sp.","Hierococcyx sp.","hawk-cuckoo sp."
"Lesser Cuckoo","Cuculus poliocephalus","Lesser Cuckoo"
"Indian Cuckoo","Cuculus micropterus","Indian Cuckoo"
"Lesser/Indian Cuckoo","Cuculus poliocephalus/micropterus","Lesser/Indian Cuckoo"
"Himalayan Cuckoo","Cuculus saturatus","Himalayan Cuckoo"
"Common Cuckoo","Cuculus canorus","Common Cuckoo"
"Himalayan/Oriental Cuckoo","Cuculus saturatus/optatus","Himalayan/Oriental Cuckoo"
"Common/Oriental Cuckoo","Cuculus canorus/optatus","Common/Oriental Cuckoo"
"Cuculus sp.","Cuculus sp.","Cuculus cuckoo sp."
"cuckoo sp. (Cuculidae sp.)","Cuculidae sp.","cuckoo sp. (Cuculidae sp.)"
"Sri Lanka Frogmouth","Batrachostomus moniliger","Sri Lanka Frogmouth"
"Hodgson's Frogmouth","Batrachostomus hodgsoni","Hodgson's Frogmouth"
"Batrachostomus sp.","Batrachostomus sp.","Batrachostomus frogmouth sp."
"frogmouth sp.","Podargidae sp.","frogmouth sp."
"Great Eared-Nightjar","Lyncornis macrotis","Great Eared-Nightjar"
"Jungle Nightjar","Caprimulgus indicus","Jungle Nightjar (Indian Jungle Nightjar)"
"Gray Nightjar","Caprimulgus jotaka","Grey Nightjar (Eastern Jungle Nightjar)"
"Jungle/Gray Nightjar","Caprimulgus indicus/jotaka","Jungle/Grey Nightjar"
"Eurasian Nightjar","Caprimulgus europaeus","Eurasian Nightjar (European Nightjar)"
"Sykes's Nightjar","Caprimulgus mahrattensis","Sykes's Nightjar"
"Large-tailed Nightjar","Caprimulgus macrurus","Large-tailed Nightjar"
"Andaman Nightjar","Caprimulgus andamanicus","Andaman Nightjar"
"Jerdon's Nightjar","Caprimulgus atripennis","Jerdon's Nightjar"
"Indian Nightjar","Caprimulgus asiaticus","Indian Nightjar"
"Savanna Nightjar","Caprimulgus affinis","Savanna Nightjar"
"Caprimulgus sp.","Caprimulgus sp.","Caprimulgus old world nightjar sp."
"nightjar sp.","Caprimulgidae sp.","nightjar sp."
"White-rumped Spinetail","Zoonavena sylvatica","White-rumped Spinetail (White-rumped Needletail)"
"White-throated Needletail","Hirundapus caudacutus","White-throated Needletail"
"Silver-backed Needletail","Hirundapus cochinchinensis","Silver-backed Needletail"
"Brown-backed Needletail","Hirundapus giganteus","Brown-backed Needletail"
"needletail sp.","Hirundapus sp.","Hirundapus needletail sp."
"Plume-toed Swiftlet","Collocalia affinis","Plume-toed Swift (Andaman Glossy Swiftlet)"
"Indian Swiftlet","Aerodramus unicolor","Indian Swiftlet"
"Himalayan Swiftlet","Aerodramus brevirostris","Himalayan Swiftlet"
"White-nest Swiftlet","Aerodramus fuciphagus","White-nest Swiftlet (Edible-nest Swiftlet)"
"White-nest/Germain's Swiftlet (Edible-nest Swiftlet)","Aerodramus fuciphagus/germani","White-nest/Germain's Swiftlet (Edible-nest Swiftlet)"
"dark swiftlet sp.","Aerodramus sp.","dark swiftlet sp."
"swiftlet sp.","Collocalia/Aerodramus sp.","swiftlet sp."
"Alpine Swift","Tachymarptis melba","Alpine Swift"
"Common Swift","Apus apus","Common Swift"
"Pacific Swift","Apus pacificus","Pacific Swift"
"Blyth's Swift","Apus leuconyx","Blyth's Swift (Fork-tailed Swift)"
"fork-tailed swift sp.","Apus pacificus/salimalii/leuconyx/cooki","fork-tailed swift sp."
"Dark-rumped Swift","Apus acuticauda","Dark-rumped Swift"
"Little Swift","Apus affinis","Little Swift (Indian House Swift)"
"House Swift","Apus nipalensis","House Swift (Nepal House Swift)"
"Little/House Swift","Apus affinis/nipalensis","Little/House Swift"
"Apus sp.","Apus sp.","Apus sp."
"Apus/Tachymarptis sp.","Apus/Tachymarptis sp.","Apus/Tachymarptis swift sp."
"Asian Palm Swift","Cypsiurus balasiensis","Asian Palm Swift"
"large swift sp.","Apodidae sp. (large swift sp.)","large swift sp."
"small swift sp.","Apodidae sp. (small swift sp.)","small swift sp."
"swift sp.","Apodidae sp.","swift sp."
"Crested Treeswift","Hemiprocne coronata","Crested Treeswift"
"treeswift sp.","Hemiprocne sp.","treeswift sp."
"Water Rail","Rallus aquaticus","Water Rail"
"Brown-cheeked Rail","Rallus indicus","Brown-cheeked Rail"
"Corn Crake","Crex crex","Corn Crake"
"Slaty-breasted Rail","Lewinia striata","Slaty-breasted Rail"
"Spotted Crake","Porzana porzana","Spotted Crake"
"Eurasian Moorhen","Gallinula chloropus","Eurasian Moorhen"
"Eurasian Moorhen/Common Gallinule","Gallinula chloropus/galeata","Eurasian Moorhen/Common Gallinule"
"Eurasian Coot","Fulica atra","Eurasian Coot"
"Eurasian/Red-knobbed Coot","Fulica atra/cristata","Eurasian/Red-knobbed Coot"
"coot sp.","Fulica sp.","coot sp."
"Gray-headed Swamphen","Porphyrio poliocephalus","Grey-headed Swamphen (Purple Swamphen)"
"Black-backed/Gray-headed Swamphen","Porphyrio indicus/poliocephalus","Black-backed/Grey-headed Swamphen"
"swamphen sp.","Porphyrio sp. (swamphen sp.)","swamphen sp."
"moorhen/coot/gallinule sp.","Gallinula/Fulica/Porphyrio sp.","moorhen/coot/gallinule sp."
"White-browed Crake","Poliolimnas cinereus","White-browed Crake"
"Watercock","Gallicrex cinerea","Watercock"
"White-breasted Waterhen","Amaurornis phoenicurus","White-breasted Waterhen"
"Andaman Crake","Rallina canningi","Andaman Crake"
"Great Nicobar Crake (undescribed form)","Rallina [undescribed form]","Great Nicobar Crake (undescribed form)"
"Red-legged Crake","Rallina fasciata","Red-legged Crake"
"Slaty-legged Crake","Rallina eurizonoides","Slaty-legged Crake"
"Ruddy-breasted Crake","Zapornia fusca","Ruddy-breasted Crake"
"Brown Crake","Zapornia akool","Brown Crake"
"Little Crake","Zapornia parva","Little Crake"
"Baillon's Crake","Zapornia pusilla","Baillon's Crake"
"Spotted/Little/Baillon's Crake","Porzana porzana/Zapornia parva/pusilla","Spotted/Little/Baillon's Crake"
"Black-tailed Crake","Zapornia bicolor","Black-tailed Crake"
"Zapornia sp.","Zapornia sp.","Zapornia rail/crake sp."
"rail/crake sp.","Rallidae sp. (rail/crake sp.)","rail/crake sp."
"Masked Finfoot","Heliopais personatus","Masked Finfoot"
"Demoiselle Crane","Anthropoides virgo","Demoiselle Crane"
"Siberian Crane","Leucogeranus leucogeranus","Siberian Crane"
"Sarus Crane","Antigone antigone","Sarus Crane"
"Common Crane","Grus grus","Common Crane"
"Black-necked Crane","Grus nigricollis","Black-necked Crane"
"crane sp.","Gruidae sp.","crane sp."
"Great Thick-knee","Esacus recurvirostris","Great Thick-knee (Great Stone-curlew)"
"Beach Thick-knee","Esacus magnirostris","Beach Thick-knee (Beach Stone-curlew)"
"Indian Thick-knee","Burhinus indicus","Indian Thick-knee (Indian Stone-curlew)"
"Black-winged Stilt","Himantopus himantopus","Black-winged Stilt"
"Pied Avocet","Recurvirostra avosetta","Pied Avocet"
"Ibisbill","Ibidorhyncha struthersii","Ibisbill"
"Eurasian Oystercatcher","Haematopus ostralegus","Eurasian Oystercatcher"
"Black-bellied Plover","Pluvialis squatarola","Black-bellied Plover (Grey Plover)"
"European Golden-Plover","Pluvialis apricaria","European Golden-Plover"
"American Golden-Plover","Pluvialis dominica","American Golden-Plover"
"Pacific Golden-Plover","Pluvialis fulva","Pacific Golden-Plover"
"American/Pacific Golden-Plover (Lesser Golden-Plover)","Pluvialis dominica/fulva","American/Pacific Golden-Plover (Lesser Golden-Plover)"
"golden-plover sp.","Pluvialis dominica/apricaria/fulva","golden-plover sp."
"Black-bellied Plover/golden-plover sp.","Pluvialis sp.","Black-bellied Plover/golden-plover sp."
"Common Ringed Plover","Charadrius hiaticula","Common Ringed Plover"
"Common Ringed/Semipalmated Plover","Charadrius hiaticula/semipalmatus","Common Ringed/Semipalmated Plover"
"Little Ringed Plover","Charadrius dubius","Little Ringed Plover"
"Common/Little Ringed Plover","Charadrius hiaticula/dubius","Common/Little Ringed Plover"
"Long-billed Plover","Charadrius placidus","Long-billed Plover"
"Northern Lapwing","Vanellus vanellus","Northern Lapwing"
"River Lapwing","Vanellus duvaucelii","River Lapwing"
"Yellow-wattled Lapwing","Vanellus malabaricus","Yellow-wattled Lapwing"
"Gray-headed Lapwing","Vanellus cinereus","Grey-headed Lapwing"
"Red-wattled Lapwing","Vanellus indicus","Red-wattled Lapwing"
"Sociable Lapwing","Vanellus gregarius","Sociable Lapwing"
"White-tailed Lapwing","Vanellus leucurus","White-tailed Lapwing"
"lapwing sp.","Vanellus sp.","lapwing sp."
"Caspian Plover","Anarhynchus asiaticus","Caspian Plover"
"Oriental Plover","Anarhynchus veredus","Oriental Plover"
"Tibetan Sand-Plover","Anarhynchus atrifrons","Tibetan Sand-Plover (Lesser Sand-Plover)"
"Siberian/Tibetan Sand-Plover","Anarhynchus mongolus/atrifrons","Siberian/Tibetan Sand-Plover"
"Greater Sand-Plover","Anarhynchus leschenaultii","Greater Sand-Plover"
"sand-plover sp.","Anarhynchus atrifrons/mongolus/leschenaultii","sand-plover sp."
"Kentish Plover","Anarhynchus alexandrinus","Kentish Plover"
"small plover sp.","Charadrius/Anarhynchus sp.","small plover sp."
"plover sp.","Charadriidae sp.","plover sp."
"Greater Painted-Snipe","Rostratula benghalensis","Greater Painted-Snipe"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","Pheasant-tailed Jacana"
"Bronze-winged Jacana","Metopidius indicus","Bronze-winged Jacana"
"jacana sp.","Jacanidae sp.","jacana sp."
"Whimbrel","Numenius phaeopus","Whimbrel"
"Eurasian Curlew","Numenius arquata","Eurasian Curlew"
"Whimbrel/Eurasian Curlew","Numenius phaeopus/arquata","Whimbrel/Eurasian Curlew"
"curlew sp.","Numenius sp.","curlew sp."
"Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit"
"Black-tailed Godwit","Limosa limosa","Black-tailed Godwit"
"Bar-tailed/Black-tailed Godwit","Limosa lapponica/limosa","Bar-tailed/Black-tailed Godwit"
"godwit sp.","Limosa sp.","godwit sp."
"Asian Dowitcher","Limnodromus semipalmatus","Asian Dowitcher"
"Long-billed Dowitcher","Limnodromus scolopaceus","Long-billed Dowitcher"
"Jack Snipe","Lymnocryptes minimus","Jack Snipe"
"Eurasian Woodcock","Scolopax rusticola","Eurasian Woodcock"
"Solitary Snipe","Gallinago solitaria","Solitary Snipe"
"Wood Snipe","Gallinago nemoricola","Wood Snipe"
"Great Snipe","Gallinago media","Great Snipe"
"Swinhoe's Snipe","Gallinago megala","Swinhoe's Snipe"
